t_s,q_depth,drops_total,detect_processed,published
6.610025593545288e-07,1,0,0,0
0.20007050600179355,3,15,6,6
0.40005723200010834,5,30,13,13
0.600058154999715,3,50,19,19
0.8000544690003153,5,65,26,26
1.000053719002608,2,85,33,33
1.200056305002363,5,100,39,39
1.4000650630005111,2,120,46,46
1.6000568990020838,4,135,53,53
1.800056048999977,2,155,59,59
2.000056372002291,4,170,66,66
2.200055932000396,1,190,73,73
2.4000560019994737,4,205,79,79
2.600056625000434,1,225,86,86
2.800056014999427,3,240,93,93
3.000055333999626,1,260,99,99
3.200067048001074,3,275,106,106
3.4000564880007005,5,290,113,113
3.6000598360005824,3,310,119,119
3.8000551990007807,5,325,126,126
4.000056673001382,3,345,132,132
4.200065280001581,5,360,139,139
4.4000578060004045,2,380,146,146
4.600056374001724,5,395,152,152
4.800056135001796,2,415,159,159
5.000056374999986,4,430,166,166
5.200053380001918,2,450,172,172
5.400056778002181,4,465,179,179
5.600058370000625,1,485,186,186
5.800058069999068,4,500,192,192
6.000057568999182,1,520,199,199
6.200060225000925,3,535,206,206
6.400054885001737,1,555,212,212
6.600070616001176,3,570,219,219
6.800056939002388,5,585,226,226
7.0001184870016,3,605,232,232
7.200063231000968,5,620,239,239
7.400063532000786,2,640,246,246
7.600053973001195,5,655,252,252
7.800055474999681,2,675,259,259
8.000063048999436,5,690,265,265
8.200054802000523,2,710,272,272
8.400054300000193,4,725,279,279
8.600059690001217,2,745,285,285
8.8000559730026,4,760,292,292
9.000055994001741,1,780,299,299
9.200056614001369,4,795,305,305
9.400056112001039,1,815,312,312
9.60005670100145,3,830,319,319
9.800056141000823,1,850,325,325
10.000055970001995,3,865,332,332
10.200056088000565,5,880,339,339
10.400055786001758,3,900,345,345
10.60005580500001,5,915,352,352
10.800055554002029,2,935,359,359
11.000063267001678,5,950,365,365
11.200054228000226,2,970,372,372
11.400057424001716,4,985,379,379
11.600056120001682,2,1005,385,385
11.800054496001394,4,1020,392,392
12.000068973000452,2,1040,398,398
12.200056436999148,4,1055,405,405
12.400063298999157,1,1075,412,412
12.60006032200181,4,1090,418,418
12.800057065000146,1,1110,425,425
13.0000573239995,3,1125,432,432
13.200057452999317,1,1145,438,438
13.400068964001548,3,1160,445,445
13.600056508999842,5,1175,452,452
13.8000540130015,3,1195,458,458
14.000068568999268,5,1210,465,465
14.20005853800103,2,1230,472,472
14.400123440002062,5,1245,478,478
14.600118689002556,2,1265,485,485
14.800053904000379,4,1280,492,492
15.00022704300136,2,1300,498,498
15.200055302000692,4,1315,505,505
15.400150281999231,2,1335,511,511
15.600053764999757,4,1350,518,518
15.800054867002473,1,1370,525,525
16.00005489400064,4,1385,531,531
16.200069788999826,1,1405,538,538
16.400055169000552,3,1420,545,545
16.600057411000307,1,1440,551,551
16.80005541400169,3,1455,558,558
17.000055381002312,5,1470,565,565
17.200056932000734,3,1490,571,571
17.40006763999918,5,1505,578,578
17.600054181002633,2,1525,585,585
17.800063496000803,5,1540,591,591
18.000054046002333,2,1560,598,598
18.20006880100118,4,1575,605,605
18.400054762001673,2,1595,611,611
18.600067654002487,4,1610,618,618
18.800228558000526,2,1630,624,624
19.00023039900043,4,1645,631,631
19.200057416001073,1,1665,638,638
19.400230041999748,4,1680,644,644
19.60006757800147,1,1700,651,651
19.800230667002324,3,1715,658,658
20.000054266001825,1,1735,664,664
20.200057819001813,3,1750,671,671
20.400057937000383,5,1765,678,678
20.600058523999905,3,1785,684,684
20.800056236999808,5,1800,691,691
21.00005888799933,2,1820,698,698
21.200070566999784,5,1835,704,704
21.400229186001525,2,1855,711,711
21.600068697000097,4,1870,718,718
21.80005594800241,2,1890,724,724
22.00006469100117,4,1905,731,731
22.20005983900046,2,1925,737,737
22.400059094001335,4,1940,744,744
22.60005629400257,1,1960,751,751
22.80005557900222,4,1975,757,757
23.00006918100189,1,1995,764,764
23.200055920999148,3,2010,771,771
23.400056467999093,1,2030,777,777
23.600058438001724,3,2045,784,784
23.80005900499964,5,2060,791,791
24.00005752799916,3,2080,797,797
24.200056903002405,5,2095,804,804
24.4000714060021,2,2115,811,811
24.600069308999082,5,2130,817,817
24.80006997700184,2,2150,824,824
25.000070392001362,4,2165,831,831
25.200060159000714,2,2185,837,837
25.400069783001527,4,2200,844,844
25.600069849002466,1,2220,851,851
25.800068841999746,4,2235,857,857
26.000060442001995,1,2255,864,864
26.200056048000988,4,2270,870,870
26.400059160001547,1,2290,877,877
26.600072641002043,3,2305,884,884
26.80005743700167,1,2325,890,890
27.000061340000684,3,2340,897,897
27.20007009300025,5,2355,904,904
27.400069436000194,3,2375,910,910
27.600069821000943,5,2390,917,917
27.8000609289993,2,2410,924,924
28.000058600002376,5,2425,930,930
28.200055528999656,2,2445,937,937
28.400055795002118,4,2460,944,944
28.60007001700069,2,2480,950,950
28.800057608001225,4,2495,957,957
29.000057662000472,1,2515,964,964
29.200055372999486,4,2530,970,970
29.400059163999686,1,2550,977,977
29.600056653001957,4,2565,983,983
29.800070183999196,1,2585,990,990
