t_s,q_depth,drops_total,detect_processed,published
4.61000126961153e-07,1,0,0,0
0.20007789100054651,3,15,6,6
0.40008530799968867,5,30,13,13
0.6000542219999261,3,50,19,19
0.8000850150001497,5,65,26,26
1.000056083000345,2,85,33,33
1.2000984770002106,5,100,39,39
1.4003319270004795,2,120,46,46
1.6001560550002978,4,135,53,53
1.8001057219998984,2,155,59,59
2.000057041999753,4,170,66,66
2.2000710829997843,2,190,72,72
2.400316563999695,4,205,79,79
2.600054898000053,1,225,86,86
2.800069719000021,4,240,92,92
3.000286196000161,1,260,99,99
3.2000566710003113,3,275,106,106
3.400055582999812,1,295,112,112
3.600053502999799,3,310,119,119
3.8000547090005057,5,325,126,126
4.000058960999922,3,345,132,132
4.2000808760003565,5,360,139,139
4.400068926000131,3,380,145,145
4.600053961999947,5,395,152,152
4.800056320000294,2,415,159,159
5.000281454000287,5,430,165,165
5.200281888000063,2,450,172,172
5.400072061999708,4,465,179,179
5.600065874000393,2,485,185,185
5.800279134000448,4,500,192,192
6.000101128000097,1,520,199,199
6.200069200000144,4,535,205,205
6.400071148000279,1,555,212,212
6.600068446000478,4,570,218,218
6.800054965000527,1,590,225,225
7.000056671000493,3,605,232,232
7.20008523100023,1,625,238,238
7.400083771000027,3,640,245,245
7.600078125000437,5,655,252,252
7.800058691999766,3,675,258,258
8.000058274999901,5,690,265,265
8.200056595000206,2,710,272,272
8.400058203000299,5,725,278,278
8.600101810000524,2,745,285,285
8.800059973000316,5,760,291,291
9.000053925999964,2,780,298,298
9.200052977999803,4,795,305,305
9.400054425000235,2,815,311,311
9.600056232000497,4,830,318,318
9.800053501000548,1,850,325,325
10.000056671000493,4,865,331,331
10.200055643999804,1,885,338,338
10.400056811000468,3,900,345,345
10.60007097200014,1,920,351,351
10.800070225000127,3,935,358,358
11.000054559000091,5,950,365,365
11.200055655000142,3,970,371,371
11.40006862500013,5,985,378,378
11.600066445000266,3,1005,384,384
11.800066849999894,5,1020,391,391
12.000054961000387,2,1040,398,398
12.200063873000545,5,1055,404,404
12.400070259000131,2,1075,411,411
12.600065274000372,4,1090,418,418
12.800070919000063,2,1110,424,424
13.000282856000013,4,1125,431,431
13.200067560000207,1,1145,438,438
13.400109717000305,4,1160,444,444
13.600101934999657,1,1180,451,451
13.800056523999956,4,1195,457,457
14.00028980299976,1,1215,464,464
14.200065760000143,3,1230,471,471
14.400070964000406,1,1250,477,477
14.600102598000376,3,1265,484,484
14.80028474000028,1,1285,490,490
15.000054775000535,3,1300,497,497
15.200105066000106,5,1315,504,504
15.400073189000068,3,1335,510,510
15.600054026999715,5,1350,517,517
15.80005567399985,2,1370,524,524
16.000069894999797,5,1385,530,530
16.20005480100008,2,1405,537,537
16.400065756000004,4,1420,544,544
16.600066062000224,2,1440,550,550
16.800056226999914,4,1455,557,557
17.0000707600002,2,1475,563,563
17.20007124499989,4,1490,570,570
17.40005640199979,1,1510,577,577
17.600054122000074,4,1525,583,583
17.800055128000167,1,1545,590,590
18.000057197000388,3,1560,597,597
18.20005681099974,1,1580,603,603
18.40005686600034,3,1595,610,610
18.60007308100012,1,1615,616,616
18.800470283999857,3,1630,623,623
19.000070686000072,5,1645,630,630
19.200054490000184,3,1665,636,636
19.400069352999708,5,1680,643,643
19.600069957000414,2,1700,650,650
19.800056365999808,5,1715,656,656
20.00006982600007,2,1735,663,663
20.20005561400012,4,1750,670,670
20.40005843400013,2,1770,676,676
20.60005498300052,4,1785,683,683
20.800057673000083,2,1805,689,689
21.000057878000007,4,1820,696,696
21.200054226000248,1,1840,703,703
21.400062136000088,4,1855,709,709
21.600060116999884,1,1875,716,716
21.80044186000032,3,1890,723,723
22.00005496599988,1,1910,729,729
22.200766939999994,3,1925,736,736
22.40005805200053,5,1940,743,743
22.600056534000032,3,1960,749,749
22.800063511999724,5,1975,756,756
23.00006455899984,3,1995,762,762
23.200054124000417,5,2010,769,769
23.400056843999664,2,2030,776,776
23.600069523000457,5,2045,782,782
23.800231477000125,2,2065,789,789
24.00005612699988,4,2080,796,796
24.200056943999698,2,2100,802,802
24.400054714000362,4,2115,809,809
24.600056092999694,1,2135,816,816
24.800055695000083,4,2150,822,822
25.000055511000028,1,2170,829,829
25.200071856999784,3,2185,836,836
25.400055891000193,1,2205,842,842
25.600058881999757,3,2220,849,849
25.80005568100023,5,2235,856,856
26.000067818999923,3,2255,862,862
26.200070820000292,5,2270,869,869
26.40006665800047,3,2290,875,875
26.600065571000414,5,2305,882,882
26.800060477000443,2,2325,889,889
27.000068688000283,5,2340,895,895
27.200069245000122,2,2360,902,902
27.40006077399994,4,2375,909,909
27.600066850000076,2,2395,915,915
27.800058310000168,4,2410,922,922
28.000058696999986,2,2430,928,928
28.20006568500048,4,2445,935,935
28.400058467000235,1,2465,942,942
28.600221654000052,4,2480,948,948
28.800058818000252,1,2500,955,955
29.00005535800028,3,2515,962,962
29.200057115999698,1,2535,968,968
29.400066881000384,3,2550,975,975
29.60006288800014,5,2565,982,982
29.800070799999958,3,2585,988,988
