ts,type,object_id,zone
1778677603.1564875,zone_enter,12,tr
1778677603.1564875,zone_enter,4,br
1778677603.1564875,zone_enter,7,bl
1778677621.1839294,zone_exit,12,tr
1778677621.1839294,zone_enter,12,tl
1778677623.5542119,zone_exit,4,br
1778677623.5542119,zone_enter,4,bl
1778677623.787948,zone_exit,4,bl
1778677623.821392,zone_enter,4,bl
1778677626.3920157,zone_exit,12,tl
1778677626.3920157,zone_enter,12,tr
1778677628.996018,zone_exit,7,bl
1778677628.996018,zone_enter,7,br
1778677631.1659899,zone_exit,4,bl
1778677631.1659899,zone_enter,4,tl
1778677633.1356077,zone_exit,7,br
1778677633.1356077,zone_enter,7,bl
1778677635.6731627,zone_exit,4,tl
1778677635.6731627,zone_enter,4,br
1778677637.5757563,zone_exit,12,tr
1778677637.5757563,zone_enter,12,tl
1778677640.346971,zone_exit,7,bl
1778677640.346971,zone_enter,7,tr
1778677642.8171883,zone_exit,4,br
1778677642.8171883,zone_enter,4,bl
1778677644.7869601,zone_exit,12,tl
1778677644.7869601,zone_enter,12,br
1778677647.3576353,zone_exit,4,bl
1778677647.8248758,zone_exit,12,br
1778677648.425995,zone_enter,12,bl
1778677648.45931,zone_exit,12,bl
1778677648.9933558,zone_enter,12,bl
1778677648.9933558,zone_exit,12,bl
1778677649.1937633,zone_enter,4,tl
1778677650.9633846,zone_exit,4,tl
1778677650.9633846,zone_enter,4,br
1778677652.031504,zone_exit,7,tr
1778677652.031504,zone_enter,7,tl
1778677657.306103,zone_exit,7,tl
1778677657.306103,zone_enter,7,tr
1778677658.4747162,zone_exit,4,br
1778677658.4747162,zone_enter,4,tl
1778677658.5414126,zone_exit,4,tl
1778677658.5414126,zone_enter,4,tl
1778677658.5748389,zone_exit,4,tl
1778677658.5748389,zone_enter,4,tl
1778677658.6083038,zone_exit,4,tl
1778677658.6083038,zone_enter,4,tl
1778677658.641544,zone_exit,4,tl
1778677658.641544,zone_enter,4,tl
1778677658.6749942,zone_exit,4,tl
1778677658.6749942,zone_enter,4,tl
1778677659.8434227,zone_enter,12,br
1778677662.046902,zone_exit,4,tl
1778677662.046902,zone_enter,4,br
1778677663.5157146,zone_exit,7,tr
1778677663.5157146,zone_enter,7,tl
1778677666.8541837,zone_exit,4,br
1778677666.8541837,zone_enter,4,tr
1778677669.6250496,zone_exit,12,br
1778677669.6250496,zone_enter,12,bl
1778677671.3278413,zone_exit,7,tl
1778677671.3278413,zone_enter,7,br
1778677673.2641928,zone_exit,4,tr
1778677673.2641928,zone_enter,4,tl
1778677673.2974114,zone_exit,4,tl
1778677673.2974114,zone_enter,4,tl
1778677673.3308465,zone_exit,4,tl
1778677673.3308465,zone_enter,4,tl
1778677673.3642159,zone_exit,4,tl
1778677673.4978063,zone_enter,4,tl
1778677673.531108,zone_exit,4,tl
1778677673.531108,zone_enter,4,tl
1778677674.5326183,zone_exit,12,bl
1778677674.5326183,zone_enter,12,tr
1778677677.5374296,zone_exit,4,tl
1778677677.5374296,zone_enter,4,br
1778677679.6739874,zone_exit,12,tr
1778677679.7406385,zone_enter,12,tl
1778677679.8408701,zone_exit,12,tl
1778677679.8408701,zone_enter,12,tl
1778677679.8741584,zone_exit,12,tl
1778677679.8741584,zone_enter,12,tl
1778677679.907774,zone_exit,12,tl
1778677679.907774,zone_enter,12,tl
1778677680.942548,zone_exit,7,br
1778677681.2763166,zone_enter,7,tl
1778677681.4767742,zone_exit,12,tl
1778677681.9441316,zone_enter,12,tl
1778677692.894274,zone_exit,12,tl
1778677692.894274,zone_enter,12,tr
1778677694.6306207,zone_exit,7,tl
1778677694.6306207,zone_enter,7,bl
1778677694.6306207,zone_exit,7,bl
1778677694.6306207,zone_enter,7,tl
1778677694.663752,zone_exit,7,tl
1778677694.663752,zone_enter,7,bl
1778677694.797226,zone_exit,7,bl
1778677694.797226,zone_enter,7,tl
1778677694.8306253,zone_exit,7,tl
1778677694.8306253,zone_enter,7,bl
1778677694.8306253,zone_exit,7,bl
1778677694.8306253,zone_enter,7,tl
1778677696.7669618,zone_exit,4,br
1778677696.7669618,zone_enter,4,tr
1778677696.90044,zone_exit,4,tr
1778677696.90044,zone_enter,4,tr
1778677696.933928,zone_exit,4,tr
1778677696.933928,zone_enter,4,tr
1778677697.2677038,zone_exit,12,tr
1778677697.2677038,zone_enter,12,br
1778677701.5409365,zone_exit,12,br
1778677701.5409365,zone_enter,12,bl
1778677702.642653,zone_exit,7,tl
1778677702.642653,zone_enter,7,tr
1778677706.2814667,zone_exit,4,tr
1778677706.2814667,zone_enter,4,tl
1778677710.888725,zone_exit,12,bl
1778677710.888725,zone_enter,12,br
1778677711.723213,zone_exit,7,tr
1778677711.723213,zone_enter,7,bl
1778677714.9280949,zone_exit,4,tl
1778677714.9280949,zone_enter,4,tr
1778677715.9297433,zone_exit,12,br
1778677715.9297433,zone_enter,12,tl
1778677720.4033892,zone_exit,7,bl
1778677720.4033892,zone_enter,7,br
1778677722.1726162,zone_exit,12,tl
1778677722.1726162,zone_enter,12,br
1778677723.94207,zone_exit,7,br
1778677724.1759076,zone_enter,7,tl
1778677724.3093107,zone_exit,7,tl
1778677724.3093107,zone_enter,7,tl
1778677725.3443046,zone_exit,4,tr
1778677725.3443046,zone_enter,4,bl
1778677730.0848055,zone_exit,4,bl
1778677730.0848055,zone_enter,4,tr
1778677730.4187965,zone_exit,7,tl
1778677731.4202623,zone_enter,7,br
1778677735.4932294,zone_exit,4,tr
1778677736.161066,zone_enter,4,tl
1778677736.2945926,zone_exit,7,br
1778677736.2945926,zone_enter,7,tl
1778677737.8301451,zone_exit,12,br
1778677737.8301451,zone_enter,12,bl
1778677738.7648787,zone_exit,7,tl
1778677738.7648787,zone_enter,7,br
1778677739.8665373,zone_exit,4,tl
1778677739.8665373,zone_enter,4,tr
1778677757.6942027,zone_exit,12,bl
1778677757.6942027,zone_enter,12,br
1778677758.5954177,zone_exit,7,br
1778677758.5954177,zone_enter,7,bl
1778677759.3967006,zone_exit,4,tr
1778677759.3967006,zone_enter,4,tl
1778677763.87047,zone_exit,4,tl
1778677763.87047,zone_enter,4,tr
1778677763.87047,zone_exit,7,bl
1778677763.9369316,zone_enter,7,br
1778677764.9718516,zone_exit,12,br
1778677764.9718516,zone_enter,12,bl
1778677771.8157191,zone_exit,12,bl
1778677771.8157191,zone_enter,12,br
1778677772.5501122,zone_exit,7,br
1778677772.5501122,zone_enter,7,bl
1778677773.3180761,zone_exit,4,tr
1778677773.3180761,zone_enter,4,tl
1778677779.2939515,zone_exit,7,bl
1778677779.2939515,zone_enter,7,br
1778677780.195435,zone_exit,12,br
1778677780.195435,zone_enter,12,bl
1778677781.1633742,zone_exit,4,tl
1778677781.1633742,zone_enter,4,br
1778677791.9801126,zone_exit,12,bl
1778677792.2472057,zone_enter,12,tr
1778677793.1818502,zone_exit,7,br
1778677793.1818502,zone_enter,7,bl
1778677799.057783,zone_exit,7,bl
1778677799.057783,zone_enter,7,br
1778677799.157907,zone_exit,7,br
1778677799.157907,zone_enter,7,br
1778677799.191311,zone_exit,7,br
1778677799.191311,zone_enter,7,br
1778677799.2245789,zone_exit,7,br
1778677799.2245789,zone_enter,7,br
1778677799.9591858,zone_exit,4,br
1778677799.9591858,zone_enter,4,bl
1778677800.8604321,zone_exit,12,tr
1778677800.8604321,zone_enter,12,tl
1778677805.7345335,zone_exit,4,bl
1778677805.7345335,zone_enter,4,br
1778677807.1367612,zone_exit,12,tl
1778677807.1367612,zone_enter,12,tr
1778677812.611977,zone_exit,7,br
1778677812.6785035,zone_enter,7,bl
1778677813.6800604,zone_exit,4,br
1778677813.6800604,zone_enter,4,bl
1778677816.7515316,zone_exit,12,tr
1778677816.7515316,zone_enter,12,tl
1778677822.627147,zone_exit,7,bl
1778677822.627147,zone_enter,7,br
1778677823.628832,zone_exit,4,bl
1778677823.628832,zone_enter,4,br
1778677824.7304223,zone_exit,12,tl
1778677824.7304223,zone_enter,12,tr
1778677830.1723468,zone_exit,12,tr
1778677830.2388809,zone_exit,7,br
1778677830.3056288,zone_exit,4,br
1778677830.3391175,zone_enter,4,bl
1778677830.3391175,zone_enter,7,bl
1778677830.3726268,zone_enter,12,tl
1778677836.9827645,zone_exit,4,bl
1778677836.9827645,zone_enter,4,br
1778677838.0174875,zone_exit,7,bl
1778677838.0174875,zone_enter,7,tr
1778677838.0509884,zone_exit,7,tr
1778677838.0509884,zone_enter,7,tr
1778677838.0845182,zone_exit,7,tr
1778677838.0845182,zone_enter,7,tr
1778677838.1176927,zone_exit,7,tr
1778677838.1176927,zone_enter,7,tr
1778677838.1512697,zone_exit,7,tr
1778677838.1512697,zone_enter,7,tr
1778677838.1846795,zone_exit,7,tr
1778677838.1846795,zone_enter,7,tr
1778677838.2178524,zone_exit,7,tr
1778677838.2178524,zone_enter,7,tr
1778677839.052643,zone_exit,12,tl
1778677839.052643,zone_enter,12,bl
1778677844.7947145,zone_exit,12,bl
1778677844.7947145,zone_enter,12,tr
1778677845.9965127,zone_exit,4,br
1778677846.0632179,zone_enter,4,bl
1778677847.2651312,zone_exit,12,tr
1778677847.532117,zone_exit,4,bl
1778677847.59903,zone_enter,12,br
1778677847.866006,zone_enter,4,bl
1778677848.3336082,zone_exit,7,tr
1778677848.3336082,zone_enter,7,tl
1778677853.2076738,zone_exit,7,tl
1778677853.2076738,zone_enter,7,tr
1778677854.275937,zone_exit,12,br
1778677854.275937,zone_enter,12,tl
1778677855.3775828,zone_exit,4,bl
1778677855.3775828,zone_enter,4,br
1778677868.4978518,zone_exit,12,tl
1778677868.9986594,zone_enter,12,bl
1778677869.6328158,zone_exit,4,br
1778677870.4342823,zone_enter,4,tl
1778677871.1019616,zone_exit,7,tr
1778677871.1019616,zone_enter,7,bl
1778677871.168618,zone_exit,7,bl
1778677871.168618,zone_enter,7,bl
1778677871.202034,zone_exit,7,bl
