backend,n_objects,obs_per_object,method,iterations,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,throughput_obs_per_s,output_rmse_vs_cpu,max_abs_diff
cpu_numpy,1,2,avg,30,0.006112,0.006763,0.007545,0.006236,0.005942,0.007545,320704.7,,
gpu_cupy,1,2,avg,30,0.354205,0.464255,0.548266,0.367263,0.348234,0.548266,5445.69,0.0,0.0
cpu_numpy,1,2,weighted,30,0.006382,0.007494,0.012023,0.006657,0.006232,0.012023,300431.12,,
gpu_cupy,1,2,weighted,30,0.35118,0.364005,0.383581,0.354378,0.344176,0.383581,5643.69,0.0,0.0
cpu_numpy,1,4,avg,30,0.007945,0.008326,0.008786,0.007995,0.007714,0.008786,500321.04,,
gpu_cupy,1,4,avg,30,0.353634,0.370577,0.374244,0.354743,0.344547,0.374244,11275.75,0.0,0.0
cpu_numpy,1,4,weighted,30,0.008326,0.008647,0.008707,0.008377,0.008176,0.008707,477473.21,,
gpu_cupy,1,4,weighted,30,0.348986,0.363173,0.364395,0.351178,0.340239,0.364395,11390.24,0.0,0.0
cpu_numpy,10,2,avg,30,0.025779,0.02652,0.028304,0.025904,0.025359,0.028304,772080.54,,
gpu_cupy,10,2,avg,30,0.384393,0.597921,0.691629,0.41611,0.371148,0.691629,48064.19,0.0,0.0
cpu_numpy,10,2,weighted,30,0.027873,0.028665,0.033995,0.028155,0.027642,0.033995,710350.88,,
gpu_cupy,10,2,weighted,30,0.376708,0.405964,0.42993,0.381685,0.368532,0.42993,52399.2,0.0,0.0
cpu_numpy,10,4,avg,30,0.044455,0.045677,0.048913,0.044677,0.043563,0.048913,895316.6,,
gpu_cupy,10,4,avg,30,0.389493,0.402638,0.405664,0.391626,0.383802,0.405664,102138.19,0.0,0.0
cpu_numpy,10,4,weighted,30,0.047792,0.051088,0.054424,0.04819,0.04733,0.054424,830052.9,,
gpu_cupy,10,4,weighted,30,0.399201,0.508319,0.808912,0.416016,0.389523,0.808912,96150.04,0.0,0.0
cpu_numpy,100,2,avg,30,0.228976,0.247732,0.262772,0.230191,0.217154,0.262772,868843.57,,
gpu_cupy,100,2,avg,30,0.587992,0.653947,0.677803,0.59625,0.570027,0.677803,335429.51,0.0,0.0
cpu_numpy,100,2,weighted,30,0.239136,0.245999,0.24629,0.239885,0.237133,0.24629,833734.34,,
gpu_cupy,100,2,weighted,30,0.607699,0.718861,0.845432,0.622041,0.591178,0.845432,321522.04,0.0,0.0
cpu_numpy,100,4,avg,30,0.401405,0.406435,0.407016,0.402227,0.399171,0.407016,994464.15,,
gpu_cupy,100,4,avg,30,0.748327,0.779496,0.780428,0.747428,0.7184,0.780428,535168.75,0.0,0.0
cpu_numpy,100,4,weighted,30,0.407628,0.415732,0.415753,0.40706,0.397198,0.415753,982655.4,,
gpu_cupy,100,4,weighted,30,0.735864,0.932087,0.984207,0.753037,0.722638,0.984207,531182.35,0.0,0.0
cpu_numpy,1000,2,avg,30,1.956772,2.14459,2.335855,1.98347,1.930782,2.335855,1008333.95,,
gpu_cupy,1000,2,avg,30,2.370872,2.413422,2.47491,2.373912,2.316818,2.47491,842491.3,0.0,0.0
cpu_numpy,1000,2,weighted,30,2.216738,2.300878,2.313051,2.225451,2.192131,2.313051,898694.23,,
gpu_cupy,1000,2,weighted,30,2.563459,2.625267,2.639364,2.565863,2.513353,2.639364,779464.79,0.0,0.0
cpu_numpy,1000,4,avg,30,3.710266,3.739422,3.8277,3.711069,3.619894,3.8277,1077856.69,,
gpu_cupy,1000,4,avg,30,3.9642,4.153522,4.280835,3.996925,3.924595,4.280835,1000769.3,0.0,0.0
cpu_numpy,1000,4,weighted,30,4.047329,4.132752,4.146428,4.053179,3.965744,4.146428,986879.79,,
gpu_cupy,1000,4,weighted,30,4.382258,4.442853,4.469053,4.378699,4.324748,4.469053,913513.35,0.0,0.0
cpu_numpy,10000,2,avg,30,20.616229,21.128025,21.149826,20.607411,20.151382,21.149826,970524.65,,
gpu_cupy,10000,2,avg,30,21.159435,21.819213,22.363922,21.246975,20.848623,22.363922,941310.45,0.0,0.0
cpu_numpy,10000,2,weighted,30,22.731152,23.506471,23.939317,22.829378,22.28949,23.939317,876064.16,,
gpu_cupy,10000,2,weighted,30,23.182894,24.571051,24.958781,23.340889,22.806436,24.958781,856865.38,0.0,0.0
cpu_numpy,10000,4,avg,30,38.714967,39.68677,39.852086,38.622222,37.419756,39.852086,1035673.18,,
gpu_cupy,10000,4,avg,30,39.012053,40.118634,40.330889,39.177783,38.103119,40.330889,1020986.82,0.0,0.0
cpu_numpy,10000,4,weighted,30,42.641475,44.9198,45.074526,42.852843,41.396711,45.074526,933426.99,,
gpu_cupy,10000,4,weighted,30,43.151548,44.773822,45.063314,43.146911,41.34926,45.063314,927065.21,0.0,0.0
cpu_numpy,100000,2,avg,30,246.919971,251.781484,255.17756,246.894569,238.862455,255.17756,810062.37,,
gpu_cupy,100000,2,avg,30,256.976371,284.051479,302.908481,260.856331,244.027085,302.908481,766705.56,0.0,0.0
cpu_numpy,100000,2,weighted,30,288.947366,294.678596,299.694412,288.722775,276.106656,299.694412,692706.01,,
gpu_cupy,100000,2,weighted,30,287.159336,293.408304,294.769279,287.109911,275.656397,294.769279,696597.34,0.0,0.0
cpu_numpy,100000,4,avg,30,446.225495,452.928638,453.990764,445.607432,432.374007,453.990764,897651.1,,
gpu_cupy,100000,4,avg,30,448.698261,456.380071,458.346993,447.825107,429.784218,458.346993,893205.84,0.0,0.0
