run_id,config_hash,git_commit,stage,count,mean_ms,p50_ms,p95_ms,max_ms,uptime_s
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,detect.cam1,4387,1.360,1.319,1.684,5.290,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,detect.cam0,4387,0.957,0.901,1.242,11.417,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,sleep,4195,0.685,0.722,0.937,2.120,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,build.msg,4387,0.161,0.160,0.185,0.520,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,fuse,4387,0.150,0.150,0.184,0.352,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,record.jsonl,4387,0.133,0.134,0.153,0.348,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,zones,4387,0.025,0.025,0.030,0.070,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,map.cam0,4387,0.025,0.025,0.028,0.074,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,map.cam1,4387,0.022,0.022,0.026,0.060,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,ws.send,4387,0.013,0.011,0.015,0.181,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,tracking,4387,0.003,0.003,0.004,0.010,16.198
timing_breakdown_001,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,382be2dff875cba78f028ea2240f1acf99699e1e,camera.read,4387,0.001,0.001,0.002,0.007,16.198
