run_id,config_hash,git_commit,stage,count,mean_ms,p50_ms,p95_ms,max_ms,uptime_s
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,detect.cam1,4344,1.298,1.207,1.894,8.745,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,sleep,4140,1.431,1.448,1.755,2.352,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,detect.cam0,4344,0.464,0.445,0.735,6.051,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,build.msg,4344,0.142,0.133,0.177,2.527,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,record.jsonl,4344,0.103,0.105,0.123,2.375,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,fuse,4344,0.086,0.090,0.119,0.708,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,ws.send,4344,0.025,0.011,0.035,1.805,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,map.cam1,4344,0.021,0.022,0.026,0.176,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,zones,4344,0.017,0.017,0.020,0.259,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,tracking,4344,0.003,0.003,0.003,0.009,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,camera.read,4344,0.001,0.001,0.002,0.009,16.188
m9_5_latency_demo_bothcams_002-17,374489919f82bd800d922f4492405680bff9812c085916e854034047c284d481,,map.cam0,4344,0.000,0.000,0.000,0.004,16.188
