ts,type,object_id,zone
1778678119.322459,zone_enter,1,left
1778678119.322459,zone_enter,2,right
1778678119.3557606,zone_exit,2,right
1778678119.3557606,zone_enter,3,right
1778678119.4555068,zone_enter,2,right
1778678119.4889019,zone_exit,2,right
1778678119.7563992,zone_enter,2,right
1778678119.9566882,zone_exit,2,right
1778678120.5573142,zone_exit,3,right
1778678120.6242604,zone_enter,3,right
1778678120.6575716,zone_exit,3,right
1778678120.6911428,zone_enter,3,right
1778678120.8910675,zone_exit,3,right
1778678120.9916496,zone_enter,3,right
1778678121.1250896,zone_enter,2,right
1778678121.291922,zone_exit,2,right
1778678121.4589105,zone_exit,3,right
1778678121.692488,zone_enter,3,right
1778678122.1599953,zone_enter,2,right
1778678122.3936343,zone_exit,2,right
1778678122.727438,zone_enter,2,right
1778678122.8607738,zone_exit,2,right
1778678122.9275982,zone_enter,2,right
1778678123.027925,zone_exit,2,right
1778678123.027925,zone_exit,3,right
1778678123.0611992,zone_enter,2,right
1778678123.0611992,zone_enter,3,right
1778678123.09484,zone_exit,2,right
1778678123.09484,zone_exit,3,right
1778678123.1279159,zone_enter,2,right
1778678123.2615294,zone_exit,2,right
1778678123.495434,zone_enter,3,right
1778678124.029555,zone_enter,12,left
1778678124.8304353,zone_enter,2,right
1778678124.9306178,zone_exit,2,right
1778678125.16435,zone_enter,2,right
1778678125.264482,zone_exit,2,right
1778678125.5315387,zone_enter,2,right
1778678125.5983102,zone_exit,2,right
1778678125.6317153,zone_enter,4,right
1778678125.665083,zone_exit,3,right
1778678125.6985157,zone_enter,2,right
1778678125.7652886,zone_exit,2,right
1778678125.8320303,zone_enter,2,right
1778678125.8655243,zone_exit,2,right
1778678125.9655764,zone_enter,3,right
1778678125.9989786,zone_exit,3,right
1778678126.0993056,zone_enter,3,right
1778678126.4998295,zone_enter,2,right
1778678126.5668044,zone_exit,2,right
1778678126.6672237,zone_enter,2,right
1778678126.7337027,zone_exit,2,right
1778678126.9676025,zone_exit,3,right
1778678127.0008292,zone_enter,2,right
1778678127.0675743,zone_enter,7,left
1778678127.1346333,zone_exit,2,right
1778678127.3351161,zone_enter,3,right
1778678127.6348715,zone_enter,2,right
1778678127.9021719,zone_exit,2,right
1778678128.2693565,zone_exit,3,right
1778678128.3694274,zone_enter,3,right
1778678128.6700625,zone_enter,2,right
1778678128.7365515,zone_exit,2,right
1778678128.870107,zone_enter,2,right
1778678129.1372914,zone_exit,2,right
1778678129.2707193,zone_exit,3,right
1778678129.4045348,zone_enter,3,right
1778678129.7382946,zone_exit,3,right
1778678129.7719555,zone_enter,2,right
1778678129.938685,zone_enter,3,right
1778678130.038657,zone_exit,3,right
1778678130.0722327,zone_exit,2,right
1778678130.13886,zone_exit,12,left
1778678130.13886,zone_enter,12,right
1778678130.2057314,zone_enter,3,right
1778678130.2391365,zone_exit,1,left
1778678130.2724428,zone_exit,3,right
1778678130.6394172,zone_enter,3,right
1778678130.706597,zone_enter,1,left
1778678130.7398381,zone_exit,3,right
1778678130.8069382,zone_enter,3,right
1778678131.107085,zone_exit,4,right
1778678131.107085,zone_enter,4,left
1778678131.3409157,zone_enter,2,right
1778678131.3741732,zone_exit,2,right
1778678132.9432056,zone_enter,2,right
1778678133.11031,zone_exit,2,right
1778678133.1768942,zone_enter,2,right
1778678133.2438147,zone_exit,2,right
1778678133.3107097,zone_enter,2,right
1778678133.3438377,zone_exit,2,right
1778678134.479069,zone_exit,7,left
1778678134.479069,zone_enter,7,right
1778678135.1466603,zone_exit,12,right
1778678135.1466603,zone_enter,12,left
1778678135.3803203,zone_exit,1,left
1778678135.4470782,zone_enter,1,left
1778678135.4803505,zone_enter,2,right
1778678135.6808257,zone_exit,2,right
1778678135.9144666,zone_exit,4,left
1778678135.9144666,zone_enter,4,right
1778678138.2847693,zone_exit,12,left
1778678138.5182424,zone_enter,2,right
1778678138.652145,zone_exit,2,right
1778678138.81893,zone_enter,12,left
1778678138.952581,zone_exit,1,left
1778678138.9856393,zone_enter,1,left
1778678139.3530836,zone_enter,2,right
1778678139.4532273,zone_exit,2,right
1778678139.7535691,zone_exit,12,left
1778678139.98726,zone_enter,2,right
1778678139.98726,zone_exit,7,right
1778678139.98726,zone_enter,7,left
1778678140.0207877,zone_exit,2,right
1778678140.354617,zone_exit,1,left
1778678140.3879163,zone_enter,1,left
1778678140.6551433,zone_exit,3,right
1778678140.7549584,zone_enter,3,right
1778678140.7885282,zone_exit,3,right
1778678140.9887648,zone_enter,2,right
1778678141.0557706,zone_exit,2,right
1778678141.2561,zone_enter,12,right
1778678141.3227756,zone_enter,3,right
1778678141.4228277,zone_exit,12,right
1778678141.4565394,zone_enter,12,right
1778678142.057409,zone_exit,3,right
1778678142.090806,zone_enter,3,right
1778678142.1240985,zone_exit,3,right
1778678142.2242692,zone_enter,3,right
1778678142.2574146,zone_exit,4,right
1778678142.2574146,zone_enter,4,left
1778678142.3243692,zone_enter,2,right
1778678142.4245453,zone_exit,4,left
1778678142.457813,zone_exit,3,right
1778678142.4911745,zone_exit,2,right
1778678142.4911745,zone_enter,3,right
1778678142.5248294,zone_enter,2,right
1778678142.5248294,zone_exit,3,right
1778678142.55801,zone_exit,2,right
1778678142.55801,zone_enter,3,right
1778678142.5911362,zone_enter,2,right
1778678142.6249804,zone_exit,2,right
1778678142.6581533,zone_enter,4,left
1778678142.7917478,zone_exit,3,right
1778678142.825316,zone_enter,2,right
1778678142.825316,zone_enter,3,right
1778678142.8585243,zone_exit,2,right
1778678142.8585243,zone_exit,3,right
1778678142.8917558,zone_enter,3,right
1778678142.9253597,zone_exit,3,right
1778678142.9586477,zone_enter,2,right
1778678142.9917343,zone_exit,2,right
1778678142.9917343,zone_enter,3,right
1778678143.0587986,zone_exit,3,right
1778678143.092103,zone_enter,3,right
1778678143.5928953,zone_exit,3,right
1778678143.6930594,zone_enter,3,right
1778678144.3943856,zone_exit,3,right
1778678144.5609195,zone_enter,2,right
1778678144.5609195,zone_enter,3,right
1778678144.5946012,zone_exit,3,right
1778678144.6612246,zone_enter,3,right
1778678144.6948538,zone_exit,2,right
1778678144.728167,zone_enter,2,right
1778678144.7613518,zone_exit,2,right
1778678145.329172,zone_exit,3,right
1778678145.3623831,zone_enter,3,right
1778678145.662519,zone_exit,1,left
1778678145.7963572,zone_enter,1,left
1778678145.9299002,zone_exit,3,right
1778678145.963447,zone_enter,3,right
1778678145.996688,zone_exit,3,right
1778678146.029941,zone_enter,3,right
1778678146.0636203,zone_enter,2,right
1778678146.1300569,zone_exit,2,right
1778678146.330486,zone_exit,3,right
1778678146.3641176,zone_enter,3,right
1778678146.397406,zone_exit,3,right
1778678146.4306195,zone_enter,3,right
1778678146.4306195,zone_exit,4,left
1778678146.4306195,zone_enter,4,right
1778678146.4642923,zone_exit,3,right
1778678147.2319195,zone_enter,3,right
1778678147.298916,zone_exit,1,left
1778678147.3321388,zone_enter,1,left
1778678147.599082,zone_exit,3,right
1778678147.9664357,zone_enter,3,right
1778678147.9997294,zone_exit,3,right
1778678148.0328968,zone_enter,3,right
1778678148.0999212,zone_exit,3,right
1778678148.5005844,zone_enter,2,right
1778678148.533896,zone_exit,2,right
1778678148.5672755,zone_enter,3,right
1778678148.968109,zone_exit,12,right
1778678148.968109,zone_enter,12,left
1778678149.4686193,zone_exit,3,right
1778678149.502186,zone_exit,1,left
1778678149.535429,zone_enter,3,right
1778678149.6023796,zone_exit,3,right
1778678149.669054,zone_enter,1,left
1778678149.9693968,zone_exit,1,left
1778678150.0362856,zone_enter,3,right
