ts,type,object_id,zone
1777358943.4047601,zone_enter,12,right
1777358943.4047601,zone_enter,4,left
1777358943.4047601,zone_enter,7,right
1777358943.4379642,zone_enter,2,right
1777358943.6714878,zone_exit,2,right
1777358943.7383752,zone_enter,2,right
1777358943.8083103,zone_exit,2,right
1777358943.9388547,zone_enter,2,right
1777358945.6123195,zone_enter,0,left
1777358945.741436,zone_exit,2,right
1777358945.774673,zone_enter,2,right
1777358945.812417,zone_exit,0,left
1777358945.812417,zone_exit,2,right
1777358946.0418367,zone_enter,2,right
1777358946.1084194,zone_exit,2,right
1777358946.1420095,zone_enter,2,right
1777358946.542719,zone_exit,2,right
1777358946.576083,zone_enter,2,right
1777358946.6428885,zone_exit,2,right
1777358946.8763456,zone_enter,0,left
1777358946.94344,zone_enter,2,right
1777358946.976686,zone_exit,0,left
1777358946.976686,zone_exit,2,right
1777358947.043451,zone_enter,2,right
1777358947.7162414,zone_exit,2,right
1777358947.8778453,zone_enter,2,right
1777358948.4453595,zone_exit,2,right
1777358948.5455248,zone_enter,2,right
1777358948.5789897,zone_exit,2,right
1777358948.6126456,zone_enter,2,right
1777358948.64592,zone_exit,2,right
1777358948.6793735,zone_enter,2,right
1777358948.846264,zone_exit,2,right
1777358949.446927,zone_enter,2,right
1777358949.5806665,zone_enter,1,left
1777358949.9477887,zone_exit,1,left
1777358950.0206637,zone_exit,2,right
1777358950.181418,zone_enter,2,right
1777358950.6487958,zone_exit,2,right
1777358950.7207632,zone_enter,2,right
1777358950.8490446,zone_exit,2,right
1777358950.8824785,zone_enter,2,right
1777358950.9492815,zone_exit,2,right
1777358952.151416,zone_enter,2,right
1777358952.524739,zone_exit,2,right
1777358954.128867,zone_enter,2,right
1777358954.1541693,zone_exit,2,right
1777358954.2289262,zone_enter,2,right
1777358954.2543035,zone_exit,2,right
1777358954.2877226,zone_enter,2,right
1777358954.454619,zone_exit,2,right
1777358954.5547893,zone_enter,2,right
1777358954.7554498,zone_exit,2,right
1777358955.0889475,zone_enter,2,right
1777358955.4561596,zone_exit,2,right
1777358955.8901963,zone_enter,2,right
1777358956.0328505,zone_exit,2,right
1777358956.4577034,zone_enter,2,right
1777358956.6914256,zone_exit,2,right
1777358956.791544,zone_enter,2,right
1777358956.9584866,zone_exit,2,right
1777358957.0331666,zone_enter,2,right
1777358957.0586567,zone_exit,2,right
1777358957.1921563,zone_enter,2,right
1777358957.2328954,zone_exit,2,right
1777358957.2923791,zone_enter,2,right
1777358957.3330917,zone_exit,2,right
1777358957.6369426,zone_enter,2,right
1777358958.3369772,zone_exit,2,right
1777358958.4943495,zone_enter,2,right
1777358958.7613623,zone_exit,2,right
1777358958.8370337,zone_enter,2,right
1777358958.9949412,zone_exit,2,right
1777358959.3371465,zone_enter,2,right
1777358959.3622136,zone_exit,2,right
1777358959.4370437,zone_enter,2,right
